|description|target
1730| A young man is kneeling on the floor fixing his speed bike .|0
1731| The boy is jumping into the pool swimming .|1
1732| A girl wearing glasses is in a blue harness while rock climbing .|0
1733| Village people are watching a woman who seems to be checking her messages possibly on her cellphone .|0
1734| Texas A&M 's Ryan Tannehill is nearly sacked by an Iowa State player .|0
1735| A man in purple , white , and yellow on stilts .|0
1736| a group of people smiling and dancing in a huddle group together .|0
1737| Two Girls making book covers out of colored paper .|0
1738| A in man a black shirt is holding a piece of corn over something .|1
1739| A person riding dirt a bike on mud|1
1740| A of group people are burning things .|1
1741| A male with sunglasses is sitting down on a couch .|0
1742| A woman with tattoos who is a wearing black tank top looks at the ground .|1
1743| A man dressed in white working in a kitchen decorating wedding cakes .|0
1744| A toddle and a baby are playing with leaves and dirt outside .|0
1745| A woman grilling and chicken veggies .|1
1746| A young blond girl in a green shirt holding something .|0
1747| child A smiling for a picture .|1
1748| A woman at a is cafe drinking coffee while doing paperwork .|1
1749| Young boys in martial arts uniforms at a park .|0
1750| A man wearing a blue sport coat holding a microphone .|0
1751| These people are having a wrestling match .|0
1752| A man in a white shirt rides a bicycle on a busy street .|0
1753| Three puppies on a couch to next a bottle of milk .|1
1754| A group women of in sexy black and red clothes dance in the street .|1
1755| Man in denim wearing hat dark sunglasses .|1
1756| A skateboarder is doing a trick across a rail at an urban skate park|0
1757| birds A eye view of women dancing with different colored dresses .|1
1758| A man and woman in a dark suit and formal white dress smile for a picture .|0
1759| A group of men and women are sitting at table a eating and drinking .|1
1760| He is only a few matches from tournament the finals .|1
1761| A photographer takes a photo of a house with vines climbing up the sides .|0
1762| People visiting a street market .|0
1763| Two football play teams on the field .|1
1764| A man wearing is and carrying all kinds of junk .|1
1765| A man is scratching a rock with a red hammer .|0
1766| group of men ( all ages lounging ) at shallow end of public pool .|1
1767| Two people at cliff side overlooking Grand Canyon .|0
1768| A making man a sand sculpture .|1
1769| An older woman , blowing out the candles on a cake .|0
1770| A young boy is getting harnessed and ready to climb a manmade rock wall .|0
1771| A woman poses for a picture while in front of a lake .|0
1772| Two women sharing cotton candy on busy a stone street corner .|1
1773| A man reading a magazine sits on a street bench .|0
1774| A man in an orange shirt playing tennis .|0
1775| A woman in a black coat dinner eats while her dog looks on .|1
1776| A young child dressed colorfully sits on a red platform .|0
1777| policewoman A directs traffic .|1
1778| A boy and a girl the at beach , throwing sand .|1
1779| A woman is dressed in bright blue and red clothes as she sits in the green grass .|0
1780| A young lacrosse player wearing a red uniform stands the on field looking up .|1
1781| Two young males involved in a match wrestling .|1
1782| Two young men playing a at computer .|1
1783| Large brown dog is jumping over a smaller black dog .|0
1784| A skier with ski is sticks cutting into the snow as he makes a sharp turn .|1
1785| Two people sitting on rocks and a pack at their feet .|0
1786| A woman wearing a red tank is top cutting a hamburger in half .|1
1787| A snowboarder dressed in snow yellow pants and a helmet catches some air on fresh powder .|1
1788| The woman smiling in the red helmet is outdoors holding a very long rope .|1
1789| A crowd of adults and children watching a musician perform on stage .|0
1790| Rednecks throwing knives .|0
1791| man A surveys fields near the edge of town .|1
1792| A large amount people of at an outdoor festival .|1
1793| People on stilts walking down a path with onlookers sitting and watching .|0
1794| A young man with long hair , sunglasses and a blue shirt is using a welding machine .|0
1795| wearing children black and white are performing .|1
1796| Four women and three children are making their way down a sidewalk .|0
1797| Young adults looking out the over water with telescopes .|1
1798| A busy sidewalk , overlooked by a painting of a cow .|0
1799| A of group people in white shirts and red bandannas are congregated together .|1
1800| A girl wearing a purple shirt and tan shorts is posed in a dance move .|0
1801| Women are surrounding table a full of handbags .|1
1802| Oriental An traveler awaits his turn at the currency exchange .|1
1803| A group of people are their organizing chinese lanterns .|1
1804| A man in a red shirt bending over outside an empty building .|0
1805| A woman retrieving balls from a miniature golf hole .|0
1806| An elderly woman walks down a path holding two white bags .|0
1807| A lady sits in sand the on the beach .|1
1808| People a on Beach , cleaning up what Mother Nature brought in , from the Ocean .|1
1809| Two men and a guard are beside a tent with snow on the ground .|0
1810| An equestrian sits upon a brown horse which is attempting to leap over an obstacle .|0
1811| A mother and son are building a snowman while their dog plays snow in .|1
1812| A painted woman rides a bike in public .|0
1813| A man sits on a bench holding his dog and at looking the water .|1
1814| Three children eating a meal outdoors on wooden a table .|1
1815| a man in a white shirt and paddling hat a canoe in a body of water .|1
1816| A blond child who is wearing red looking shoes through a telescope .|1
1817| A young child selling iced tea .|0
1818| A woman wearing a dark skirt and striped shirt sits reading on a bench on the corner .|0
1819| someone working in a restaurant that has set dishes out like a buffet .|1
1820| A woman knits a colorful textile .|0
1821| A black dog trying to mate with a brown dog|0
1822| Some children and an adult are watching a man play a xylophone .|0
1823| Two black men posing for a picture of them playing pool .|0
1824| Bubbles float a amongst lively crowd gathered at an outdoor carnival .|1
1825| A young woman in black a enjoys bite to eat .|1
1826| 5 men dressed in yellow and black suits are standing by a truck .|0
1827| A man is attempting to surf down a made hill of sand on a sunny day .|1
1828| A young in man a black shirt blows bubbles using a toy .|1
1829| race A is on at a stadium .|1
1830| A man in a black leather jacket singing in to a microphone .|0
1831| A dog running fast in sand the .|1
1832| Band singer holding the microphone on stage with a boy little in the background .|1
1833| A man walking down sidewalk a with 2 dogs on leashes .|1
1834| A man wearing a red shirt is swinging a tennis racket .|0
1835| A man adjusts the engine of a boat near the water .|0
1836| A brown and white dog exiting yellow a and blue ramp in a grassy area .|1
1837| A team on a soccer field .|0
1838| Two men touch their heads together and smile .|0
1839| Two dogs play in shallow water .|0
1840| A man on a motorcycle is jumping over a dirt hill in front of spectators .|0
1841| Local electric worker stringing up some wiring .|0
1842| A person wearing a cone-shaped hat is walking down the street with many bags .|0
1843| A girl in a pink hat sits outside .|0
1844| A man adorning a headdress and necklace in front of field a of grass .|1
1845| a man wearing sunglasses is seen on a day sunny next to a sculpture in a park .|1
1846| A girl in a purple t-shirt and plaid shorts plays with a yo-yo type toy .|0
1847| A lone woman in gray a dress is painting the edge of the sidewalk .|1
1848| A woman opens a to door peak around the corner .|1
1849| A woman in a pink tank top rides a horse in a rodeo .|0
1850| A black and white dog runs through pole obstacles .|0
1851| Four teenage boys are doing cannonballs into swimming a pool .|1
1852| a lab yellow drinks water .|1
1853| group A of boys in the mountains smile and make peace signs for the camera .|1
1854| A dune buggy with one male passenger gets some air as it drives over a sand dune .|0
1855| Girl splashing kiddie in pool|1
1856| A boy is being covered in sand the at beach .|1
1857| A man standing outside near his rucksack with a sleeping bag tied to the rucksack .|0
1858| Two small girls running down a hallway .|0
1859| A group of women dressed in black playing musical instruments in front of a large building .|0
1860| A race car observed is by the crowd .|1
1861| Several children playing a in ball pit .|1
1862| A boy at a skate park wearing a blue helmet inline skates on a small railing .|0
1863| Two dogs playing on grass .|0
1864| A guy girl and sitting on the stoop with a jug of orange juice .|1
1865| A has truck just crashed into the back of another truck .|1
1866| A woman wearing a yellow and white outfit is exiting the vehicle while using city transportation .|0
1867| A young boy is jumping down a and large colorful inflatable slide .|1
1868| a single woman wearing a black hat and leather jacket listening to music|0
1869| A large group is in shown the street .|1
1870| Two young boys wearing jerseys are washing their hands the in bathroom .|1
1871| A man in a striped top is writing on a blackboard .|0
1872| A woman puts new groceries on the table .|0
1873| Blue clad cheerleaders putting on a show .|0
1874| A young girl sits in an aquarium by a tank holding dolphins while drinking from a cup .|0
1875| A man in a hat black and tan jacket walking across the street .|1
1876| guys two playing a game of baseball .|1
1877| A woman crossing the street .|0
1878| A bride and groom are playing games at a wedding reception .|0
1879| Two boys eat their McDonalds lunch in an outdoor seating area surrounded by many other people .|0
1880| A biker wearing a white t-shirt is jumping over dirt hills .|0
1881| A group of children are sitting cross-legged in a classroom .|0
1882| A man in a suit and black beret is playing the guitar .|0
1883| A marathon runner with dinosaur a in the middle .|1
1884| A black dog carries an orange , ball walking on the ground covered in leaves .|1
1885| An excited supporter of the Obama ticket for the 2008 presidential election .|0
1886| An old man in a black trench coat in standing a marketplace .|1
1887| Young people in compete amateur wrestling .|1
1888| A girl steps off the mound after throwing the first pitch out a at baseball game .|1
1889| A man is crossing a street and there is a news crew next to him .|0
1890| A family get together a at restaurant .|1
1891| a tractor in digging dirt .|1
1892| Young red-haired man playing is an electric guitar .|1
1893| A couple happily dances in front of a crowd .|0
1894| The little girl is using colored pencils to decorate a coloring book .|0
1895| people Two sitting and having refreshments while observing a mural on the wall .|1
1896| A young girl is running across the beach to get the to water .|1
1897| group A of people sit at the top of a cliff and look over the side .|1
1898| Man in a fish processing facility examining a fish on a cutting board .|0
1899| A child jumping off bleachers with a blue shirt .|0
1900| A young woman blue wearing jeans is sitting on the ground next to some luggage .|1
1901| A group of African children display symbols written on chalkboards in the middle of a dirt field .|0
1902| Three friends making for faces the camera .|1
1903| People are on stage playing music to a of group people .|1
1904| A photo of an asian on women top of a bridge by the shore .|1
1905| A group young of men are raking lives in front of a home .|1
1906| Blue milk crates sitting on a dock by a boat .|0
1907| People at sitting a table enjoying drinks .|1
1908| A man on a bmx .|0
1909| An older man is making funny faces at a boy dressed in costume .|0
1910| A boy plays ball on grassy a field .|1
1911| Colored man on a high balcony speaking to colored woman on the street .|0
1912| A man in a yellow shirt is jumping in living a room .|1
1913| DJ A standing under some bright lights with an advertisement .|1
1914| A couple in traditional Dutch dress are dancing at a festival .|0
1915| An African American man smoking cigarette a .|1
1916| A man and a woman are walking past benches that overlook the water .|0
1917| Man sitting in wheelchair a .|1
1918| A little girl wearing blue shorts and yellow socks is kicking a pink ball .|0
1919| A boy without a shirt is running in the street while several people stand behind him .|0
1920| A woman examines a specimen using microscope a .|1
1921| A young black man wearing a red shirt and jeans is holding a bunch of weeds .|0
1922| A young man in a white shirt is singing with band a .|1
1923| Six young ladies are warming up before the beginning of their gymnastic routine .|0
1924| Four men sitting in of front a desk having a meeting .|1
1925| Two mallards swimming are in a polluted river .|1
1926| A toddler wearing green swimming goggles climbs up steps some outdoors on a sunny day .|1
1927| Swimmer her adjusting goggles|1
1928| Several people ride down an escalator .|0
1929|" football A player wearing the number """" 8 """" looks at his teammate in the distance ."|1
1930| A woman in a blue jacket reads a book to next another woman reading a magazine .|1
1931| A group of ladies carry baskets on their backs to goods transport .|1
1932| A boy plays in the water by a building .|0
1933| A dog has his mouth wide , open ready to catch a toy in the air .|1
1934| Young adults wearing hats read .|0
1935| A man and a woman look up while the man smokes a cigarette .|0
1936| mountain climber in a red suit poses on snowy peak with mountains in the background|0
1937| Two young men are inspecting a vat and pipes on a dock or harbor .|0
1938| a girl wearing all black is holding a red push broom|0
1939| Man blue in shirt is having a conversation with the man in the jacket .|1
1940| A man is smiling at a stuffed lion|0
1941| A man in wearing a mask and black leather sitting is on a motorcycle on the street .|1
1942| A man wearing a black coat and red holds hat a camera .|1
1943| Man without shirt climbing rock face .|0
1944| A professional bicyclist wearing a yellow shirt and black shorts rides by an old building .|0
1945| A man with saving cream on his face is having kid a scratch his head .|1
1946| A little girl lands at the bottom of a slide .|0
1947| Three people in the snow put their gear in order .|0
1948| Women in red outfits perform a cheer at the Beijing 2008 Olympics .|0
1949| A man in a plaid shirt is taking out money from an ATM .|0
1950| A girl in a blue shirt leaps into the air .|0
1951| The dogs are begging at the kitchen counter .|0
1952| A man wearing green t-shirt sits in a chair .|0
1953| A shirtless man skateboarding against a wall with graffiti on it .|0
1954| Two people standing in the snow , one holding a shovel .|0
1955| Young boy with glasses playing in the sprinkler .|0
1956| A man and a woman smiling in a nightclub .|0
1957| Three children on diving board , with one off jumping .|1
1958| Small dog running in the field .|0
1959| Chefs prepare food for patrons of a sushi restaurant .|0
1960| Two girls and two boys are walking down a road with backpacks on their backs .|0
1961| A man jumps his bicycle in public a park .|1
1962| Chubby couple enjoy garbage scooping out of their pool .|1
1963| AA woman in a stroller walking is outside pushing a child in a stroller .|1
1964| The bulls wins , but not before it is stopped in tracks its .|1
1965| A black and white dog sliding down a slope on a beach .|0
1966| A man hitchhiking a with bag on has back .|1
1967| A matador in a colorful outfit is riding a bull|0
1968| Matador fighting a bull with a red cape .|0
1969| The old man is driving his bicycle across the street from the white building .|0
1970| A baby girl looking at a black and cat white while holding a toy .|1
1971| A child with a bucket green on the beach .|1
1972| The little boy swims under the water .|0
1973| a woman and her dog sitting at an outdoor cafe table|0
1974| A small dog playing tug with larger a dog|1
1975| A dog white running in the snow .|1
1976| Many people standing by a fountain underneath a blue and white umbrella .|0
1977| young Two boys playing near the water .|1
1978| A man in an orange shirt is gathering clay , in a clay pit .|0
1979| A young man watches a video at the mall .|0
1980| Children places receiving at an award ceremony .|1
1981| Young men are rocking on out stage .|1
1982| Skateboarder a performs stunt on an uphill residential street .|1
1983| Two , men one with glasses having a conversation .|1
1984| The man in the striped shirt has a cigarette in his hand .|0
1985| A paints woman a brown vase with white flowers .|1
1986| A woman in an apron cleans a table that is surrounded by different colored chairs .|0
1987| A woman in a coat uses a cellphone .|0
1988| A group of people are sitting underneath a tin roof .|0
1989| The bartender shows off the wide selection of beers on tap .|0
1990| A woman wearing a outfit yellow is holding a racket .|1
1991| Three older women are siting in chairs looking outside a through wall made of glass .|1
1992| person A with a blue hat stands in trails in the snow .|1
1993| A family waiting on a public with bench their luggage .|1
1994| A young man plays with a very young baby .|0
1995| A baby in a red shirt is crying while an adult holding the baby mocks it .|0
1996| Women in black dress taking picture of children in front of flowers .|0
1997| Women on a sidewalk with packages and flowers .|0
1998| The white crane is searching for food in a pond .|0
1999| Nine men are playing a game in the park , shirts versus skins .|0
2000| A woman in a shawl a digs hole in the ground .|1
2001| Two ladies , seen from behind , one looking through a coin-operated telescope|0
2002| There are six girls jeans wearing working on a plant garden .|1
2003| Onlookers looking upon a being play performed .|1
2004| Two dogs large play together in the snow .|1
2005| A man shaving is another man 's beard .|1
2006| One guy in water sports gear is surfing on the water .|0
2007| A in sailboat the water .|1
2008| A young man hugged being at a restaurant .|1
2009| A man is carefully hair shaving off another man 's chin with a razor and shaving cream .|1
2010| A boy wearing a black t-shirt and gray stocking cap works on his skateboard skills .|0
2011| A crowd forms on a busy street to watch a street performer .|0
2012| Two people stand before an ambulance .|0
2013| A woman is performing a native dance in front of a band .|0
2014| The men are working hard at a construction site building something .|0
2015| A man is on walking the roof of a building under construction .|1
2016| A young blond boy looking at a robot white on a green table .|1
2017| Two young boys sitting on a sunlit floor smiling and holding a black lab puppy .|0
2018| A skateboarder is riding his board on a ramp in a skate park .|0
2019| A silver craft rides the waves .|0
2020| Five boy scouts in jeans are standing in front a of tent .|1
2021| A woman rests on the curb of a city street while talking on her cellphone .|0
2022| A brown and white dog is leaping over a log near water in the snow .|0
2023| One young is man holding a hammer above a scared young man while another watches .|1
2024| Chef making fry stir in a restaurant .|1
2025| A man with a red hat playing the drums with his band .|0
2026| There are seven children jumping for joy on grass a hill .|1
2027| Construction worker operation heavy machinery on a site next to a railroad and a train .|0
2028| A woman in a black hooded sweatshirt walking with a large dog .|0
2029| boy tricks doing on a skateboard|1
2030| A little kid in a striped shirt is his rubbing eye .|1
2031| A man in a hat sunglasses and walking by in a residential area .|1
2032| A woman climbing mountain a .|1
2033| The collared dog is jumping into air the .|1
2034| A man is playing a saxophone in a public space .|0
2035| A in woman a furry hat and black overcoat putting on her left shoe .|1
2036| A person , costumed as devil the , stands with a young woman .|1
2037| Fire department performing rescue a .|1
2038| The little girl in a flower dress is talking to the ladies on the street .|0
2039| Two men are riding a blue and white jet ski .|0
2040| Man and boy down biking sidewalk .|1
2041| A dog sits in a car its with tongue sticking out .|1
2042| Men ride on horses while carrying flags .|0
2043| A cleaning woman in a bright uniform is pushing a cart .|0
2044| children Two playing in a soccer match on a soccer field .|1
2045| Two men stage a sword fight at Renaissance a fair .|1
2046| A with man brown hair and glasses having a cup of coffee and eating something crunchy .|1
2047| A golden retriever is playing with a smaller black and brown dog in pink a collar .|1
2048| A singer is hot and sweaty from performing in a concert .|0
2049| A girl small in a parka and cap is shoveling snow .|1
2050| Two young girls laughing on a tire swing .|0
2051| Female Lacrosse players on opposing teams come contact in with each other .|1
2052| Two boys , one wearing a hat , in a playground .|0
2053| White dog running through snow|0
2054| A man with a thick beard and a plaid shirt is at the keyboard a in band .|1
2055| Two boys play in the shallow surf at the beach before sunset .|0
2056| A little girl is a playing red recorder flute while another girl is playing a pink guitar .|1
2057| a crown of woman sitting a around table|1
2058| Two young children play a on sandy beach .|1
2059| brown A dog has his face down in the snow .|1
2060| The lead singer visited with his band members and had the guitarist sing along with the song .|0
2061| A group of dressed people in Renaissance-era clothing converse .|1
2062| girl A in a plaid dress is walking on a sidewalk next to a stone building .|1
2063| A child small practices golf .|1
2064| A man in brown pants has his picture enlarged and stretched .|0
2065| A and man another person are playing in the snow .|1
2066| There are red balloons an inside eating establishment .|1
2067| Several people walk in a pedestrian shopping street .|0
2068| There are a group of around people a heard of sheep .|1
2069| A man in crouches front of a yellow wall .|1
2070| Hockey making goalie a save .|1
2071| A person is hanging on a wet ledge above a waterfall , looking down below him .|0
2072| A furry dog is walking by green trees while carrying something in its mouth .|0
2073| Two girls are putting a chemical in a bottle .|0
2074| A boy in white shorts stands on a rusty tower .|0
2075| A girl in a blue shirt playing her electric guitar on stage .|0
2076| person A carrying many bags .|1
2077| A blond woman in a white cutoff shirt and jeans is walking .|0
2078| An Asian woman looks out a car window at a cat sitting the in road .|1
2079| A small boy is playing with a laundry basket on his head .|0
2080| a group of friends gathered together for little a fun with sodas and blowing bubbles .|1
2081| People enjoying a festival while having drinks and pictures taking on the cellphone .|1
2082| A dog with brown spots , standing at the shore of a lake .|0
2083| Boy skating on a railing in a parking lot .|0
2084| A family is standing under very a large tree .|1
2085| A red-haired man shaving his lathered jaw with a razor .|0
2086| A man is pulling two children on a sled in the snow behind other people .|0
2087| A wet child enjoys the summer .|0
2088| Two are soldiers playing baseball and touching the base .|1
2089| Yellow team and Blue team racing to the soccer ball .|0
2090| A large group of people sitting on a pier a overlooking lake .|1
2091| dogs three playing together in a grassy field with trees in the background|1
2092| A boy and a girl are petting a cow through a fence .|0
2093| Two small boys with painted faces are sitting next to each other .|0
2094| An elderly woman recyclable collects trash .|1
2095| A view of the back of a woman having a beverage .|0
2096| A businessman is reading on a subway|0
2097| boy A is playing warning device .|1
2098| a man is playing accordion the on the sidewalk in front of a store .|1
2099| A group of people are standing around a water fountain getting wet .|0
2100| The man with the bag is standing on the corner .|0
2101| poses Girl on couch on suburban lawn .|1
2102| A of member the military that is holding a gun and sitting on top of a vehicle .|1
2103| A little girl is walking over a path of numbers .|0
2104| A guy in navy blue and yellow shorts jumping a into pool .|1
2105| A little girl pink in climbing a fence .|1
2106| An African American brightly in colored clothing talks on a cellphone on a busy street .|1
2107| Bicyclists wearing smiles on ride a sunny day in an urban landscape .|1
2108| A bored-looking girl relaxes the in park .|1
2109| Two men wearing eyeglasses standing together .|0
2110| Hmong mother her washing children 's clothes with beautiful scenery behind her .|1
2111| A batter swings as the ball in comes !|1
2112| a young man wearing dark sunglasses smiling|0
2113| a few different small cars racing around a track in the rain|0
2114| A jockey wearing red rides a horse over a green lush grassy area .|1
2115| A boy is going down the slide .|0
2116| A stern woman passing a man in a town square .|0
2117| game The booths at a carnival are shown with a doughnut shop in the background .|1
2118| A man in an orange shirt is the passenger of a green car .|0
2119| A boy sits a inside shopping cart .|1
2120| A person wearing some of sort scarf on their head while sewing .|1
2121| Several people walking down a walkway .|0
2122| There 's two men on typing a computer .|1
2123| A guy fixing a computer part turning to look at the one who is taking his picture .|0
2124| Three Japanese men fishing from boat wooden .|1
2125| A man and old woman is playing a game|0
2126| An overweight family with sling bags across stand near a group of people .|1
2127| An orange crane tearing down part of a wall .|0
2128| An older man holds a sign tattoos advertising .|1
2129| A man mopping the floor in front of an amusement park ride .|0
2130| A young man recreates a classical painting in a museum as an older gentleman views the original .|0
2131| A girl is sitting on a bus .|0
2132| a woman sitting on a large brown couch in the middle of a mall|0
2133| A man is feeding some white geese in a river or lake .|0
2134| Sidewalk artist relaxing on stoop the after a hard day at the office .|1
2135| Children tossing dead leaves on lawn .|0
2136| Young girl wearing holding white colorful paper by her mouth .|1
2137| Two guys playing basketball both midair one blocking while the other is attempting a jump shot .|0
2138| A woman in a black and red accented outfit is running across a bridge in nature .|0
2139| A woman wearing a hat with making bread .|0
2140| A group of people dressed in swimwear standing outside in a snowy , woodsy location .|0
2141| People are in sitting a cheery Mexican restaurant .|1
2142| A little kid jumps up into the air above the ocean .|0
2143| A woman plays her outside violin .|1
2144| A man singing on stage with a female musician accompanying .|0
2145| A man and woman cross street the .|1
2146| A male photographer a takes picture of a pond .|1
2147| Two spanish men in karate white garb sparring in a competition .|1
2148| Two men in flaming shirts accented wrangling a large black cow .|1
2149| A girl soccer player about to score a goal for her team .|0
2150| Two men are riding on a and white blue motorcycle .|1
2151| A man cleaning the floor in an empty room|0
2152| Six people in hard hats are walking through the snow .|0
2153| Three people are attending an event .|0
2154| A woman wearing a hat white and shirt stands near debris on wet sand near the water .|1
2155| Boy baseball plays .|1
2156| A man is using his finger to draw something on the next sand to a kid .|1
2157| A man and a woman dressed as a prisoner and sexy police officer .|0
2158| A small girl in pink is standing in a large doorway .|0
2159| Two firefighters stand watch on a street in front of an urban building .|0
2160| looking Odd men dressed in white suite and blue hats standing in formation in the street .|1
2161| An older lady show a watch to a man standing next to her .|0
2162| Men putting together some sort of device .|0
2163| Several people on the subway reading newspaper the .|1
2164| Two kids on sit a seesaw .|1
2165| A man tying his shoe at a beach .|0
2166| A few baby 's in strollers wondering lots of things .|0
2167| Young women in the street wearing headscarves .|0
2168| Dog in foreground with people three in background .|1
2169| A biker does trick a on a ramp .|1
2170| An elderly woman in a tan coat and scarf tied around her head is standing outside .|0
2171| A lady with a blue coat is seen riding a in bike front of a store .|1
2172| A large very bird flying over water .|1
2173| A little waist girls high in sand|1
2174| Man in yellow shirt and jeans laying on the pavement .|0
2175| A boy wearing purple rides a skateboard up a ramp .|0
2176| A group of women in saris sit , talk and bathe together .|0
2177| wrestler Professional getting flipped by another .|1
2178| The boy is standing on the playground equipment in the triangle blue .|1
2179| Man water spraying into boxer 's mouth .|1
2180| man A is going down a river in a kayak .|1
2181| Three are women cultivating plants in a flooded riverbed .|1
2182| A man holding flag and a woman behind a railing .|0
2183| a person cutting with machine cleaning the garden .|1
2184| A line of spectators at a race .|0
2185| A man sitting in front of a metal sculpture in front of a building .|0
2186| Three people are around a circular cutting board chopping food .|0
2187| people Two having a conversation outdoors .|1
2188| There is a very large crowd at the high school game .|0
2189| Elderly people music performing in a street .|1
2190| A small splashes baby in water|1
2191| A man is falling into waves .|0
2192| A is child looking at a red parking meter on the street .|1
2193| An old man sleeps on grass the at the foot of a large tree .|1
2194| balances Snowboarder on low , wooden structure in snow .|1
2195| One woman is helping woman another to her feet .|1
2196| A young football player lands on his head while others in the background approach him .|0
2197| A person peeks out from a tent colorful in a vast field of snow .|1
2198| A small white dog on jumps a chair|1
2199| A doctor checks the heartbeat of a young girl .|0
2200| A brown dog is standing shown in the water near a muddy beach .|1
2201| Boy in striped shirt standing among the tall grasses .|0
2202| Older man playing with child a .|1
2203| A little girl stands in a backyard , holding a toy and looking into the camera .|0
2204| A mother helps her daughter dress for a special occasion|0
2205| People standing outside an airplane with Native American art painted on the tail .|0
2206| A man plays Frisbee with his dog .|0
2207| A man asleep on a subway car .|0
2208| A child swings the bat to hit the ball off the T .|0
2209| An old man with blond-hair in a blue shirt and brown is hat playing an accordion .|1
2210| A young child in red and black winter stands clothing near a stationary train .|1
2211| Two girls doing a presentation|0
2212| Four armed Israeli soldiers stand with a catholic priest .|0
2213| The black dog is running through swampy a area with pieces of wood its mouth .|1
2214| People are around sitting tables in a city square .|1
2215| Four kids next to a blue are house walking down a street .|1
2216| A young boy holds his head to baseball a bat on the green grass .|1
2217| A couple sitting on a couch both make humorous faces .|0
2218| three people standing near each other wearing coats with other people in the background|0
2219| A man in a yellow helmet looks up , while people on the bridge watch .|0
2220| of Lots people in a farmers market shopping for fruits and vegetables .|1
2221| Several Japanese motorcycles are lined up .|0
2222| A man surveys a booth at a convention featuring framed art .|0
2223| Men wearing lime green shirts work behind a chain link fence .|0
2224| A group of male and female cheerleaders create three formations .|0
2225| A man a in bicycle throws his hands up in victory as he crosses the finish line .|1
2226| A person is walking down a cobblestone street .|0
2227| Kid in red shirt playing on bars while another boy watches .|0
2228| Bruce Springsteen , dressed in black , holding is a microphone and pointing to a crowd .|1
2229| a long brown-haired dog walking through a river .|0
2230| A person in a statue of liberty costume with shades stands motionless in a crowd of people .|0
2231| A woman wearing a red sports bra and black shorts is racing in a marathon .|0
2232| Some people look to cross the street in front of a drug store .|0
2233| A group of soldiers are standing with in guns front of an armored vehicle .|1
2234| A man , wearing glasses and a white shirt , lines up a billiards shot .|0
2235| White dog playing in the snow .|0
2236| Two children are climbing the stairs into an airplane .|0
2237| A man in a gray investigating sweater an old tomb .|1
2238| men Two dressed in martial arts outfits fight in an area while others in uniforms stand around .|1
2239| Three little boys a play tugging game|1
2240| A man wearing a blue shirt , standing on a ladder ; painting a building .|0
2241| A group of people outside after dark facing a waterway .|0
2242| A man wearing a white tank top is perched and looking down from a rock .|0
2243| Man wearing black is windsurfing .|0
2244| A woman sits as another woman brushes out hair her .|1
2245| Youths dance together in a room dark with a British flag prominently displayed on the wall .|1
2246| standing Woman under blue umbrella|1
2247| A girl wearing a green and orange dress walks on the street with a balloon .|0
2248| Man performs an amazing handstand on a skinny pole .|0
2249| man A watches the waves from the ship deck as he ties a rope .|1
2250| A person is doing a trick on a bicycle grass with and sky as the background .|1
2251| A martial artist wearing white uniform with a blue belt in a defensive pose .|0
2252| A young man cutting wood in a shop .|0
2253| A little girl through running yellow sprinkler in a grassy yard .|1
2254| A pitcher on the Minnesota Twins a throws pitch .|1
2255| This is a non busy street in a country setting with people going about regular business .|0
2256| A man with red-rimmed glasses stands with arms folded behind a metal grate .|0
2257| An event takes place a at Japanese temple .|1
2258| An kneeling woman is petting puppies two .|1
2259| A shoe shiner waits customers for .|1
2260| spectators watch as a stunt plane colored with smoke trails flies over the beach|1
2261| A woman dangles from a blue fabric connected to a tree .|0
2262| Two men are watching others on a beach shore .|0
2263| People sit in a restaurant with tall ceilings and large windows various drinking wines and socializing .|1
2264| A child in all pink posing is nearby a stroller with buildings in the distance .|1
2265| Two spokesmodels in front of hotrod a .|1
2266| Three dogs playing in a field , one with a ball in its mouth .|0
2267| A man with a bat swings at a ball coming towards him .|0
2268| A girl with a damn nice booty is getting a nice block in a beach volleyball game .|0
2269| construction Two workers hard at work .|1
2270| Two people in hockey uniforms on the ice .|0
2271| Several people with baggage , lost looks on their faces , and comfortable .|0
2272| children playing on in a play area and people sitting on chairs .|0
2273| A man in a parade is waving to the crown from an old fashioned Ford fire engine .|0
2274| A woman in a shirt black getting emotional while talking into a microphone .|1
2275| men Two and a woman sit on a brown bench with a brown dog .|1
2276| two guys walking , on the side of street the , outside .|1
2277| A man smiles and raises his hand in a parking lot as other stand around .|0
2278| Two people eating food in the sunlight .|0
2279| A girl little is jumping over a yellow rope .|1
2280| A group of young men are gathered under a tree .|0
2281| A healthcare giving worker a young baby a bath .|1
2282| older An man is playing a violin very creatively .|1
2283| A man his with hats put on sideways is using a microphone .|1
2284| We see the side-view of a hispanic lady sitting at down a table and sewing .|1
2285| enthusiastic Six young women happily dance .|1
2286| An older man in a cap is sitting under a tent to looking the right .|1
2287| Firefighters stand moist on ground with a firetruck .|1
2288| A woman is lying in a hospital bed .|0
2289| A construction worker by the side of the road stands next to a pile of tree branches .|0
2290| a skateboarder doing a trick on a ramp|0
2291| toddler siting in a swing at the with park a yellow sippy cup .|1
2292| Two young girls are off reading a paper into a microphone .|1
2293| A little kid is jumping off a high dive at the pool .|0
2294| a boy scout sits next to a tent .|0
2295| A gymnast in performing a competition .|1
2296| A man holds guitar a and sings .|1
